Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF/16V(10%),C_0805_2012Metric,106.986,-106.5364,0.0,top
C2,100nF/16V(10%),C_0402_1005Metric,105.307,-108.3312,180.0,top
C4,22pF/50V(5%),C_0402_1005Metric,110.3696,-113.3644,180.0,top
C5,100nF/10V(5%),C_0402_1005Metric,110.8924,-104.7792,180.0,top
C6,10uF/16V(10%),C_0805_2012Metric,110.5928,-106.5364,180.0,top
R1,0(1%),R_0805_2012Metric,103.3538,-106.5364,0.0,top
R2,10K(1%),R_0402_1005Metric,105.327,-109.6712,0.0,top
R4,150K(1%),R_0402_1005Metric,107.6642,-112.2214,180.0,top
