Comment,Designator,Footprint,LCSC
100nF/16V(10%),"C2,C5",C_0402_1005Metric,C1525
22pF/50V(5%),C4,C_0402_1005Metric,C1555
10uF/16V(10%),"C1,C6",C_0805_2012Metric,C15850
0(1%),R1,R_0805_2012Metric,C17477
10K(1%),R2,R_0402_1005Metric,C25744
150K(1%),R4,R_0402_1005Metric,C25755
