Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R2,10K(1%),R_0402_1005Metric,75.8884,-66.8214,0.0,top
R2,10K(1%),R_0402_1005Metric,75.8884,-13.9386,0.0,top
R2,10K(1%),R_0402_1005Metric,44.5448,-93.2628,0.0,top
R2,10K(1%),R_0402_1005Metric,75.8884,-40.38,0.0,top
R4,150K(1%),R_0402_1005Metric,46.882,-16.4888,180.0,top
R4,150K(1%),R_0402_1005Metric,15.5384,-69.3716,180.0,top
R4,150K(1%),R_0402_1005Metric,15.5384,-16.4888,180.0,top
R4,150K(1%),R_0402_1005Metric,78.2256,-16.4888,180.0,top
R4,150K(1%),R_0402_1005Metric,78.2256,-42.9302,180.0,top
R4,150K(1%),R_0402_1005Metric,15.5384,-42.9302,180.0,top
R4,150K(1%),R_0402_1005Metric,15.5384,-95.813,180.0,top
R4,150K(1%),R_0402_1005Metric,78.2256,-69.3716,180.0,top
R4,150K(1%),R_0402_1005Metric,46.882,-95.813,180.0,top
R4,150K(1%),R_0402_1005Metric,78.2256,-95.813,180.0,top
R4,150K(1%),R_0402_1005Metric,46.882,-42.9302,180.0,top
R4,150K(1%),R_0402_1005Metric,46.882,-69.3716,180.0,top
